,Date,PM10,PM2.5,WeekDay,Month_Year
1,2/28/2024,18,53,4,02-24
2,2/27/2024,27,69,3,02-24
3,2/26/2024,22,79,2,02-24
4,2/25/2024,7,62,1,02-24
5,2/24/2024,5,24,7,02-24
6,2/23/2024,5,91,6,02-24
7,2/22/2024,3,52,5,02-24
8,2/21/2024,11,28,4,02-24
9,2/20/2024,9,4,3,02-24
10,2/19/2024,3,0,2,02-24
11,2/18/2024,8,95,1,02-24
12,2/17/2024,10,39,7,02-24
13,2/16/2024,11,28,6,02-24
14,2/15/2024,9,61,5,02-24
15,2/14/2024,6,70,4,02-24
16,2/13/2024,12,53,3,02-24
17,2/12/2024,6,64,2,02-24
18,2/11/2024,10,81,1,02-24
19,2/10/2024,12,91,7,02-24
20,2/9/2024,11,39,6,02-24
21,2/8/2024,8,69,5,02-24
22,2/7/2024,5,83,4,02-24
23,2/6/2024,10,2,3,02-24
24,2/5/2024,8,64,2,02-24
25,2/4/2024,1,0,1,02-24
26,2/3/2024,3,37,7,02-24
27,2/2/2024,12,18,6,02-24
28,2/1/2024,6,18,5,02-24
29,1/31/2024,20,15,4,01-24
30,1/30/2024,23,54,3,01-24
31,1/29/2024,14,66,2,01-24
32,1/28/2024,12,16,1,01-24
33,1/27/2024,11,14,7,01-24
34,1/26/2024,5,75,6,01-24
35,1/25/2024,14,68,5,01-24
36,1/24/2024,7,9,4,01-24
37,1/23/2024,7,60,3,01-24
38,1/22/2024,6,42,2,01-24
39,1/21/2024,11,98,1,01-24
40,1/20/2024,12,76,7,01-24
41,1/19/2024,16,32,6,01-24
42,1/18/2024,15,32,5,01-24
43,1/17/2024,10,42,4,01-24
44,1/16/2024,8,61,3,01-24
45,1/15/2024,12,0,2,01-24
46,1/14/2024,12,26,1,01-24
47,1/13/2024,8,84,7,01-24
48,1/12/2024,13,39,6,01-24
49,1/11/2024,56,72,5,01-24
50,1/10/2024,60,81,4,01-24
51,1/9/2024,39,56,3,01-24
52,1/8/2024,19,43,2,01-24
53,1/7/2024,11,34,1,01-24
54,1/6/2024,17,36,7,01-24
55,1/5/2024,7,35,6,01-24
56,1/4/2024,1,0,5,01-24
57,1/3/2024,2,39,4,01-24
