Date,Month_Year,PM10,PM2.5,WeekDay,PAW_60cm,Max_Daily_Temp_C
2005-12-22,12-05,24,29,5,100.87,2.8
2005-12-23,12-05,17,25,6,100.87,2.8
2005-12-24,12-05,25,66,7,100.87,3.9
2005-12-25,12-05,17,28,1,100.87,3.5
2005-12-26,12-05,18,84,2,100.87,0.5
2005-12-27,12-05,43,45,3,100.87,-1.1
2005-12-28,12-05,34,38,4,100.87,-3.3
2005-12-29,12-05,26,67,5,100.87,-3.8
2005-12-30,12-05,26,87,6,100.87,-3.4
2005-12-31,12-05,25,72,7,100.87,3.2
2006-01-01,01-06,25,57,1,103.13,3.2
2006-01-02,01-06,42,79,2,103.13,1.1
2006-01-03,01-06,29,43,3,103.13,1
2006-01-04,01-06,28,8,4,103.13,-0.3
2006-01-05,01-06,34,53,5,103.13,1
2006-01-06,01-06,51,43,6,103.13,0.6
2006-01-07,01-06,64,69,7,103.13,1.4
2006-01-08,01-06,38,53,1,103.13,-0.2
2006-01-09,01-06,48,95,2,103.13,-0.7
2006-01-10,01-06,57,93,3,103.13,-4.6
2006-01-11,01-06,48,66,4,103.13,0
2006-01-12,01-06,69,18,5,103.13,0.2
2006-01-13,01-06,56,59,6,103.13,2.1
2006-01-14,01-06,62,93,7,103.13,0.5
2006-01-15,01-06,42,37,1,103.13,-2.5
2006-01-16,01-06,57,70,2,103.13,-4.2
2006-01-17,01-06,50,98,3,103.13,-0.3
2006-01-18,01-06,NA,NA,4,103.13,1.8
2006-01-19,01-06,67,76,5,103.13,0.8
2006-01-20,01-06,26,76,6,103.13,3.1
2006-01-21,01-06,14,79,7,103.13,2.8
2006-01-22,01-06,41,35,1,103.13,0.7
2006-01-23,01-06,74,26,2,103.13,-9.6
2006-01-24,01-06,58,88,3,103.13,-2
2006-01-25,01-06,85,18,4,103.13,-6.8
2006-01-26,01-06,95,79,5,103.13,-3.4
2006-01-27,01-06,91,50,6,103.13,-3.9
2006-01-28,01-06,108,94,7,103.13,-1.6
2006-01-29,01-06,138,77,1,103.13,-1.7
2006-01-30,01-06,132,31,2,103.13,1.1
2006-01-31,01-06,73,26,3,103.13,-999
2006-02-01,02-06,60,41,4,103.43,-999
2006-02-02,02-06,68,77,5,103.43,3.9
2006-02-03,02-06,53,86,6,103.43,-2.9
2006-02-04,02-06,40,34,7,103.43,-1.3
2006-02-05,02-06,30,68,1,103.43,-2.3
2006-02-06,02-06,47,84,2,103.43,-0.7
2006-02-07,02-06,17,45,3,103.43,2.3
2006-02-08,02-06,15,93,4,103.43,2.7
2006-02-09,02-06,11,81,5,103.43,2
2006-02-10,02-06,14,64,6,103.43,-999
2006-02-11,02-06,29,64,7,103.43,-999
2006-02-12,02-06,35,53,1,103.43,-999
2006-02-13,02-06,44,8,2,103.43,-999
2006-02-14,02-06,53,16,3,103.43,-0.7
2006-02-15,02-06,40,46,4,103.43,3.1
2006-02-16,02-06,19,72,5,103.43,4.6
2006-02-17,02-06,13,3,6,103.43,5.1
2006-02-18,02-06,8,87,7,103.43,6.3
2006-02-19,02-06,10,91,1,103.43,7.4
2006-02-20,02-06,48,86,2,103.43,1.4
2006-02-21,02-06,46,19,3,103.43,1.3
2006-02-22,02-06,29,43,4,103.43,-0.3
2006-02-23,02-06,40,27,5,103.43,-0.3
2006-02-24,02-06,62,9,6,103.43,2
2006-02-25,02-06,46,19,7,103.43,-1
2006-02-26,02-06,27,76,1,103.43,-2.9
2006-02-27,02-06,27,56,2,103.43,0
2006-02-28,02-06,43,99,3,103.43,0
2006-03-01,03-06,20,10,4,103.33,0.3
2006-03-02,03-06,28,36,5,103.33,0
2006-03-03,03-06,30,38,6,103.33,0.9
2006-03-04,03-06,37,79,7,103.33,0.6
2006-03-05,03-06,39,16,1,103.33,0.7
2006-03-06,03-06,25,66,2,103.33,2.5
2006-03-07,03-06,20,5,3,103.33,0.7
2006-03-08,03-06,31,96,4,103.33,0.1
2006-03-09,03-06,17,46,5,103.33,5.8
2006-03-10,03-06,16,84,6,103.33,7
2006-03-11,03-06,26,24,7,103.33,2.2
2006-03-12,03-06,23,32,1,103.33,-4
2006-03-13,03-06,27,76,2,103.33,-3.4
2006-03-14,03-06,42,83,3,103.33,-1.4
2006-03-15,03-06,50,60,4,103.33,-1.6
2006-03-16,03-06,62,24,5,103.33,1.6
2006-03-17,03-06,53,42,6,103.33,0.2
2006-03-18,03-06,49,37,7,103.33,-0.1
2006-03-19,03-06,38,11,1,103.33,8.1
2006-03-20,03-06,59,80,2,103.33,11.3
2006-03-21,03-06,72,95,3,103.33,3.5
2006-03-22,03-06,55,75,4,103.33,3.3
2006-03-23,03-06,58,53,5,103.33,4.4
2006-03-24,03-06,47,68,6,103.33,8
2006-03-25,03-06,33,19,7,103.33,12.4
2006-03-26,03-06,14,85,1,103.33,14.1
2006-03-27,03-06,15,90,2,103.33,18.9
2006-03-28,03-06,33,63,3,103.33,11.9
2006-03-29,03-06,18,14,4,103.33,10.7
2006-03-30,03-06,19,40,5,103.33,10
2006-03-31,03-06,12,16,6,103.33,13.1
2006-04-01,04-06,14,25,7,93.82,14.3
2006-04-02,04-06,7,16,1,93.82,15.6
2006-04-03,04-06,18,0,2,93.82,11
2006-04-04,04-06,22,83,3,93.82,8.4
2006-04-05,04-06,35,24,4,93.82,6.1
2006-04-06,04-06,29,13,5,93.82,8
2006-04-07,04-06,36,96,6,93.82,12.7
