Month_Year,PAW_60cm
01-91,87.33
02-91,87.72
03-91,78.62
04-91,66.38
05-91,60.32
06-91,52.82
07-91,41.97
08-91,44.83
09-91,34.25
10-91,31.73
11-91,39.33
12-91,47.28
01-92,66.42
02-92,73.73
03-92,73.8
04-92,65.52
05-92,46.17
06-92,41.8
07-92,40.87
08-92,31.98
09-92,32.93
10-92,29.48
11-92,42.53
12-92,63.1
01-93,72.6
02-93,81.28
03-93,75.35
04-93,57.18
05-93,47.75
06-93,56.6
07-93,53.23
08-93,45.82
09-93,44.4
10-93,46.7
11-93,72.03
12-93,94.63
01-94,102.47
02-94,103.2
03-94,98.63
04-94,98
05-94,77.08
06-94,63.13
07-94,55.73
08-94,61.73
09-94,85.23
10-94,84.88
11-94,85.57
12-94,101.72
01-95,104.42
02-95,101.98
03-95,94.22
04-95,95.72
05-95,92.88
06-95,102.33
07-95,77.97
08-95,72.07
09-95,97.8
10-95,96.77
11-95,105.03
12-95,104.23
01-96,101.58
02-96,101.37
03-96,97.43
04-96,90.38
05-96,81.32
06-96,63.33
07-96,90.6
08-96,85.1
09-96,100.05
10-96,104.38
11-96,103.38
12-96,103.73
01-97,102.72
02-97,102.63
03-97,101.33
04-97,90.3
05-97,67.68
06-97,53.32
07-97,65.02
08-97,64.08
09-97,54.65
10-97,59.55
11-97,69.62
12-97,91.83
01-98,97.17
02-98,94.55
03-98,95.23
04-98,76.88
05-98,56.77
06-98,59.03
07-98,50.37
08-98,46.35
09-98,74.48
10-98,104.73
11-98,105.23
12-98,102.83
01-99,101.33
02-99,103.32
03-99,99.22
04-99,93.75
05-99,78.93
06-99,69.77
07-99,79.95
08-99,63.52
09-99,55.97
10-99,59.87
11-99,80.83
12-99,94.4
01-00,103.9
02-00,101.83
03-00,104.78
04-00,86.25
05-00,65.45
06-00,53.58
07-00,68.27
08-00,54.83
09-00,61.47
10-00,72.45
11-00,75.63
12-00,82.47
01-01,84.88
02-01,89.33
03-01,102.32
04-01,98.33
05-01,71.55
06-01,67.6
07-01,78.12
08-01,62.68
09-01,72.88
10-01,79.68
11-01,85.68
12-01,103.85
01-02,102.93
02-02,102.95
03-02,101.2
04-02,88.03
05-02,79.67
06-02,70.83
07-02,51.83
08-02,89.4
09-02,96.88
10-02,103.43
11-02,108.8
12-02,106.42
01-03,105.92
02-03,102.78
03-03,93.98
04-03,79.03
05-03,60.12
06-03,49.18
07-03,46.68
08-03,39.05
09-03,51.72
10-03,66.4
11-03,68.9
12-03,74.35
01-04,87
02-04,92.38
03-04,87.37
04-04,68.47
05-04,89.97
06-04,76.72
07-04,64.53
08-04,56.95
09-04,55.82
10-04,76.88
11-04,97.72
12-04,103.28
01-05,103.47
02-05,105.92
03-05,99.93
04-05,81.4
05-05,68.45
06-05,51.23
07-05,67.93
08-05,84.9
09-05,85.92
10-05,93.87
11-05,91.17
12-05,100.87
01-06,103.13
02-06,103.43
03-06,103.33
04-06,93.82
05-06,74.07
06-06,65.15
07-06,50.8
08-06,69.8
09-06,58.35
10-06,77.67
11-06,84.17
12-06,86.97
01-07,99.03
02-07,102.05
03-07,96.78
04-07,72.27
05-07,62.38
06-07,93.67
07-07,93
08-07,97.18
09-07,102.35
10-07,100.15
11-07,105.37
12-07,103.25
01-08,101.3
02-08,99.1
03-08,98.43
04-08,100.83
05-08,79.78
06-08,69.53
07-08,55.38
08-08,58.62
09-08,67.77
10-08,78.92
11-08,102.2
12-08,104.2
01-09,102.8
02-09,103.47
03-09,102.82
04-09,94.23
05-09,89.83
06-09,76.63
07-09,60.55
08-09,49.27
09-09,49.42
10-09,68.42
11-09,98.87
12-09,105.32
01-10,104.87
02-10,103.25
03-10,98.47
04-10,84.27
05-10,78.82
06-10,74.98
07-10,72.5
08-10,108.35
09-10,100.7
10-10,100.05
11-10,107.6
12-10,109.72
01-11,104.3
02-11,102.63
03-11,93.27
04-11,74
05-11,56.65
06-11,54.9
07-11,75.2
08-11,68.35
09-11,74.53
10-11,87.25
11-11,88.02
12-11,102.05
01-12,107.28
02-12,103.12
03-12,92.17
04-12,72.72
05-12,59.17
06-12,69.88
07-12,87.5
08-12,58.48
09-12,68.27
10-12,84.28
11-12,98.98
12-12,106.73
01-13,104.98
02-13,105.08
03-13,101.28
04-13,93.72
05-13,85.13
06-13,100.8
07-13,71.6
08-13,59.35
09-13,72.78
10-13,82.52
11-13,90.02
12-13,97.73
01-14,96.33
02-14,93.7
03-14,79.63
04-14,63.87
05-14,54.58
06-14,46.02
07-14,69.78
08-14,67.87
09-14,91.3
10-14,96.2
11-14,100.68
12-14,103.4
01-15,103.68
02-15,100.38
03-15,89.62
04-15,76.77
05-15,56.92
06-15,53.42
07-15,42.73
08-15,44.8
09-15,47.08
10-15,54.02
11-15,64.87
12-15,89.75
01-16,95.35
02-16,103.52
03-16,100.88
04-16,94.8
05-16,73.85
06-16,91.4
07-16,75.7
08-16,74.98
09-16,72.25
10-16,95.82
11-16,103.17
12-16,102.47
01-17,103.63
02-17,100.37
03-17,97.87
04-17,84.1
05-17,67.17
06-17,60.17
07-17,71.28
08-17,82.07
09-17,88.55
10-17,98.92
11-17,106.1
12-17,103.9
01-18,104.45
02-18,101.25
03-18,101.8
04-18,84.57
05-18,74.78
06-18,73.92
07-18,57.57
08-18,49.4
09-18,53.92
10-18,54.25
11-18,53.9
12-18,70.57
01-19,99.9
02-19,99.92
03-19,92.72
04-19,74.95
05-19,73.07
06-19,50.52
07-19,42.83
08-19,39.38
09-19,53.87
10-19,67.73
11-19,75.13
12-19,80.93
01-20,88.18
02-20,98.73
03-20,97.8
04-20,70.93
05-20,62.73
06-20,83.32
07-20,69.18
08-20,63.48
09-20,93.48
10-20,101
11-20,98.7
12-20,98.43
01-21,105.17
02-21,104.92
03-21,96.1
04-21,79.22
05-21,78.68
06-21,58.25
07-21,85.95
08-21,84.1
09-21,94.65
10-21,93.95
11-21,101.3
12-21,103.38
01-22,103.6
02-22,101.57
03-22,89.32
04-22,81.9
05-22,57.15
06-22,47.53
07-22,42.65
08-22,57.75
09-22,98.45
10-22,95.67
11-22,87.65
12-22,97.73
