X (Grid),Y (Grid),X (m),Y (m),AirT,rh,Wind,MRT,Point
0,167,1.5,1.5,NA,NA,0,NA,1
1,167,4.5,1.5,38.055672,23.5495,0.1225,45.5605,2
2,167,7.5,1.5,37.864307,23.9572,0.3465,44.0207,3
3,167,10.5,1.5,37.761482,24.2956,0.6549,44.136,4
4,167,13.5,1.5,37.73032,24.5872,1.1423,44.0089,5
5,167,16.5,1.5,37.733276,24.9019,1.507,66.0169,6
6,167,19.5,1.5,37.711815,25.1161,1.7235,67.4427,7
7,167,22.5,1.5,37.663925,25.259,1.8359,67.2653,8
8,167,25.5,1.5,37.603893,25.3476,1.8885,66.9511,9
9,167,28.5,1.5,37.560722,25.4028,1.9089,66.6352,10
10,167,31.5,1.5,37.543808,25.4229,1.9141,66.7022,11
11,167,34.5,1.5,37.550816,25.4217,1.9062,66.8747,12
12,167,37.5,1.5,37.588669,25.4048,1.8891,67.367,13
13,167,40.5,1.5,37.652103,25.3752,1.8673,68.3929,14
14,167,43.5,1.5,37.716396,25.3461,1.8584,69.1001,15
15,167,46.5,1.5,37.770432,25.3314,1.8156,68.8237,16
16,167,49.5,1.5,37.823093,25.3167,1.7627,69.341,17
17,167,52.5,1.5,37.860905,25.3167,1.7622,69.4496,18
18,167,55.5,1.5,37.888351,25.3314,1.7734,69.5841,19
19,167,58.5,1.5,37.90604,25.3631,1.7864,69.4719,20
20,167,61.5,1.5,37.914543,25.4127,1.7961,69.456,21
21,167,64.5,1.5,37.913494,25.4808,1.8017,69.6827,22
22,167,67.5,1.5,37.901573,25.5685,1.8031,69.8115,23
23,167,70.5,1.5,37.877426,25.6761,1.8028,69.8863,24
24,167,73.5,1.5,37.839848,25.8025,1.8106,69.8794,25
25,167,76.5,1.5,37.784061,25.9489,1.8544,69.2,26
26,167,79.5,1.5,37.726063,26.0965,1.8662,69.6452,27
27,167,82.5,1.5,37.659172,26.2517,1.8738,69.6442,28
28,167,85.5,1.5,37.584503,26.404,1.9136,68.6414,29
29,167,88.5,1.5,37.510448,26.5314,1.9168,68.5937,30
30,167,91.5,1.5,37.440739,26.6078,1.8973,69.4478,31
31,167,94.5,1.5,37.39352,26.5344,1.8725,73.3379,32
32,167,97.5,1.5,37.343719,26.5677,1.858,73.9972,33
33,167,100.5,1.5,37.295078,26.6465,1.8505,73.741,34
34,167,103.5,1.5,37.238262,26.7613,1.8477,74.3204,35
35,167,106.5,1.5,37.1698,26.9066,1.8452,74.2957,36
36,167,109.5,1.5,37.091614,27.0732,1.8483,74.0557,37
37,167,112.5,1.5,37.010796,27.2463,1.8587,74.0495,38
38,167,115.5,1.5,36.937962,27.4159,1.8791,74.5145,39
