X (Grid)	Y (Grid)	X (m)	Y (m)	Data
0	167	1.5	1.5	-999
1	167	4.5	1.5	38.055672
2	167	7.5	1.5	37.864307
3	167	10.5	1.5	37.761482
4	167	13.5	1.5	37.73032
5	167	16.5	1.5	37.733276
6	167	19.5	1.5	37.711815
7	167	22.5	1.5	37.663925
8	167	25.5	1.5	37.603893
9	167	28.5	1.5	37.560722
10	167	31.5	1.5	37.543808
11	167	34.5	1.5	37.550816
12	167	37.5	1.5	37.588669
13	167	40.5	1.5	37.652103
14	167	43.5	1.5	37.716396
15	167	46.5	1.5	37.770432
16	167	49.5	1.5	37.823093
17	167	52.5	1.5	37.860905
18	167	55.5	1.5	37.888351
19	167	58.5	1.5	37.90604
20	167	61.5	1.5	37.914543
21	167	64.5	1.5	37.913494
22	167	67.5	1.5	37.901573
23	167	70.5	1.5	37.877426
24	167	73.5	1.5	37.839848
25	167	76.5	1.5	37.784061
26	167	79.5	1.5	37.726063
27	167	82.5	1.5	37.659172
28	167	85.5	1.5	37.584503
29	167	88.5	1.5	37.510448
30	167	91.5	1.5	37.440739
31	167	94.5	1.5	37.39352
32	167	97.5	1.5	37.343719
33	167	100.5	1.5	37.295078
34	167	103.5	1.5	37.238262
35	167	106.5	1.5	37.1698
36	167	109.5	1.5	37.091614
37	167	112.5	1.5	37.010796
38	167	115.5	1.5	36.937962
39	167	118.5	1.5	36.878155
40	167	121.5	1.5	36.829666
41	167	124.5	1.5	36.781578
42	167	127.5	1.5	36.795998
43	167	130.5	1.5	36.922108
44	167	133.5	1.5	37.001614
45	167	136.5	1.5	37.07896
46	167	139.5	1.5	37.161457
47	167	142.5	1.5	37.259483
48	167	145.5	1.5	37.382881
49	167	148.5	1.5	-999
50	167	151.5	1.5	-999
51	167	154.5	1.5	-999
52	167	157.5	1.5	-999
53	167	160.5	1.5	-999
54	167	163.5	1.5	-999
55	167	166.5	1.5	-999
56	167	169.5	1.5	-999
57	167	172.5	1.5	37.543743
58	167	175.5	1.5	37.592285
59	167	178.5	1.5	37.641762
60	167	181.5	1.5	37.603718
61	167	184.5	1.5	37.598339
62	167	187.5	1.5	37.591751
63	167	190.5	1.5	37.501484
64	167	193.5	1.5	37.430355
65	167	196.5	1.5	37.373989
66	167	199.5	1.5	37.35783
67	167	202.5	1.5	-999
68	167	205.5	1.5	-999
69	167	208.5	1.5	-999
70	167	211.5	1.5	36.942551
71	167	214.5	1.5	36.845387
72	167	217.5	1.5	36.732555
73	167	220.5	1.5	36.629585
74	167	223.5	1.5	36.604885
75	167	226.5	1.5	36.620163
76	167	229.5	1.5	36.660728
77	167	232.5	1.5	36.742062
78	167	235.5	1.5	-999
79	167	238.5	1.5	-999
80	167	241.5	1.5	-999
81	167	244.5	1.5	-999
82	167	247.5	1.5	-999
83	167	250.5	1.5	36.294708
84	167	253.5	1.5	36.163841
85	167	256.5	1.5	35.998562
86	167	259.5	1.5	35.872936
87	167	262.5	1.5	-999
88	167	265.5	1.5	-999
89	167	268.5	1.5	35.362431
90	167	271.5	1.5	35.22176
91	167	274.5	1.5	35.117676
92	167	277.5	1.5	35.036964
93	167	280.5	1.5	34.988346
94	167	283.5	1.5	34.930382
95	167	286.5	1.5	34.875278
96	167	289.5	1.5	34.645741
97	167	292.5	1.5	34.53849
98	167	295.5	1.5	34.435715
99	167	298.5	1.5	34.339317
100	167	301.5	1.5	34.250927
101	167	304.5	1.5	34.192902
102	167	307.5	1.5	34.178631
103	167	310.5	1.5	34.225449
104	167	313.5	1.5	34.296726
105	167	316.5	1.5	34.380482
106	167	319.5	1.5	34.484062
107	167	322.5	1.5	34.371056
108	167	325.5	1.5	34.449802
109	167	328.5	1.5	-999
110	167	331.5	1.5	-999
111	167	334.5	1.5	-999
112	167	337.5	1.5	34.199245
113	167	340.5	1.5	34.179119
114	167	343.5	1.5	34.202816
115	167	346.5	1.5	-999
116	167	349.5	1.5	-999
117	167	352.5	1.5	-999
118	167	355.5	1.5	-999
119	167	358.5	1.5	33.841579
120	167	361.5	1.5	33.818687
121	167	364.5	1.5	-999
122	167	367.5	1.5	-999
123	167	370.5	1.5	-999
124	167	373.5	1.5	-999
125	167	376.5	1.5	33.765369
126	167	379.5	1.5	33.75526
127	167	382.5	1.5	33.776215
128	167	385.5	1.5	33.836388
129	167	388.5	1.5	33.940414
130	167	391.5	1.5	34.080677
131	167	394.5	1.5	34.218395
132	167	397.5	1.5	34.3326
133	167	400.5	1.5	34.425602
134	167	403.5	1.5	34.503197
135	167	406.5	1.5	34.568565
136	167	409.5	1.5	34.619987
137	167	412.5	1.5	34.659546
138	167	415.5	1.5	34.692158
139	167	418.5	1.5	34.718792
140	167	421.5	1.5	34.741924
141	167	424.5	1.5	34.768093
142	167	427.5	1.5	34.806042
143	167	430.5	1.5	34.855869
144	167	433.5	1.5	34.913563
145	167	436.5	1.5	34.968502
146	167	439.5	1.5	35.114471
147	167	442.5	1.5	35.239147
148	167	445.5	1.5	35.355942
149	167	448.5	1.5	35.456261
150	167	451.5	1.5	35.537941
151	167	454.5	1.5	35.60326
152	167	457.5	1.5	35.657406
153	167	460.5	1.5	35.692043
154	167	463.5	1.5	35.692413
155	167	466.5	1.5	35.864872
156	167	469.5	1.5	36.026558
157	167	472.5	1.5	36.229584
158	167	475.5	1.5	36.41309
159	167	478.5	1.5	36.310101
160	167	481.5	1.5	36.264671
161	167	484.5	1.5	-999
162	167	487.5	1.5	-999
163	167	490.5	1.5	-999
164	167	493.5	1.5	-999
165	167	496.5	1.5	-999
166	167	499.5	1.5	-999
167	167	502.5	1.5	-999
168	167	505.5	1.5	-999
169	167	508.5	1.5	-999
170	167	511.5	1.5	36.429802
171	167	514.5	1.5	36.331905
172	167	517.5	1.5	36.216347
173	167	520.5	1.5	36.101269
